time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-26 00:00:00+00:00,2,2,,
2022-08-27 00:00:00+00:00,3,3,,
2022-08-28 00:00:00+00:00,2,2,,
2022-08-29 00:00:00+00:00,3,3,1.0,1.0
2022-08-30 00:00:00+00:00,2,2,1.0,1.0
2022-08-31 00:00:00+00:00,4,3,2.0,1.0
2022-09-01 00:00:00+00:00,3,3,,
2022-09-02 00:00:00+00:00,2,2,,
2022-09-03 00:00:00+00:00,2,2,,
2022-09-04 00:00:00+00:00,3,3,,
2022-09-05 00:00:00+00:00,1,1,,
2022-09-06 00:00:00+00:00,4,4,,
2022-09-07 00:00:00+00:00,4,4,,
2022-09-08 00:00:00+00:00,3,1,,
