url_path,views_total,views_unique
/ConnorStoneAstro/AutoProf,36,22
/ConnorStoneAstro/AutoProf/tree/main/autoprof,8,3
/ConnorStoneAstro/AutoProf/tree/github-repo-stats,4,1
/ConnorStoneAstro/AutoProf/tree/github-repo-stats/ConnorStoneAstro/AutoProf,4,1
/ConnorStoneAstro/AutoProf/blob/main/docs/index.rst,3,3
/ConnorStoneAstro/AutoProf/blob/main/autoprof/autoprof.py,3,2
/ConnorStoneAstro/AutoProf/tree/main/autoprof/pipeline_steps,3,2
/ConnorStoneAstro/AutoProf/blob/main/autoprof/Pipeline.py,3,1
/ConnorStoneAstro/AutoProf/issues,2,1
/ConnorStoneAstro/AutoProf/tree/main,2,1
