time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-27 00:00:00+00:00,1,1,,
2023-02-28 00:00:00+00:00,2,2,,
2023-03-01 00:00:00+00:00,2,2,20.0,1.0
2023-03-02 00:00:00+00:00,4,3,,
2023-03-03 00:00:00+00:00,2,2,1.0,1.0
2023-03-04 00:00:00+00:00,1,1,,
2023-03-05 00:00:00+00:00,1,1,,
2023-03-06 00:00:00+00:00,4,3,,
2023-03-07 00:00:00+00:00,1,1,,
2023-03-08 00:00:00+00:00,1,1,,
2023-03-09 00:00:00+00:00,1,1,,
2023-03-10 00:00:00+00:00,3,3,20.0,2.0
2023-03-11 00:00:00+00:00,2,2,23.0,2.0
2023-03-12 00:00:00+00:00,1,1,6.0,1.0
