url_path,views_total,views_unique
/Autostronomy/AutoProf/tree/main/autoprof,45,3
/Autostronomy/AutoProf/blob/main/autoprof/autoprof.py,22,2
/Autostronomy/AutoProf/tree/main/test,20,5
/Autostronomy/AutoProf/tree/main/docs,16,4
/Autostronomy/AutoProf,13,6
/Autostronomy/AutoProf/tree/main,13,5
/Autostronomy/AutoProf/blob/main/README.md,8,3
/Autostronomy/AutoProf/blob/main/requirements.txt,8,3
/Autostronomy/AutoProf/tree/main/autoprof/_static,8,2
/Autostronomy/AutoProf/blob/main/autoprof/_static/AP_logo.png,4,2
